homelon;homelat;homecontinent;n
-86.9;32.32;North America;40
-86.9;41.71;North America;2
-86.88;40.42;North America;16
-86.88;41.74;North America;2
-86.87;21.14;South America;3
-86.85;21.16;South America;102
-86.84;21.16;South America;2
-86.82;21.19;South America;4
-86.8;33.52;North America;57
-86.78;21.07;NA;2
-86.78;36.16;North America;90
-86.75;34.7;North America;2
-86.72;40.45;North America;10
-86.71;12.06;NA;2
-86.69;33.62;North America;2
-86.62;30.42;NA;9
-86.61;11.9;NA;10
-86.61;30.41;NA;2
-86.58;35.52;North America;72
-86.57;34.89;North America;2
-86.56;41.94;North America;2
-86.53;39.17;North America;5
-86.52;35.98;North America;5
-86.52;36.58;North America;2
-86.5;30.39;NA;8
-86.46;13.47;South America;2
-86.42;42.08;North America;2
-86.37;35.85;North America;3
-86.36;30.37;NA;2
-86.34;34.36;North America;38
-86.31;12.13;South America;8
-86.3;32.37;North America;5
-86.27;41.7;North America;2
-86.25;41.68;North America;7
-86.24;12.11;South America;31
-86.24;15.2;South America;4
-86.24;41.7;North America;3
-86.23;30.4;North America;4
-86.23;43.06;North America;3
-86.16;39.77;North America;33
-86.14;39.77;North America;2
-86.13;11.47;South America;33
-86.13;39.64;North America;3
-86.13;40.27;North America;68
-86.13;40.49;North America;2
-86.12;11.47;South America;2
-86.12;39.8;North America;18
-86.12;39.98;North America;3
-86.11;39.91;North America;13
-86.1;11.99;South America;2
-86.09;11.44;South America;6
-86.09;11.97;South America;2
-86.05;39.89;North America;2
-86.03;11.39;NA;40
-86.01;40.12;North America;6
-86;11.37;South America;2
-85.98;39.74;North America;2
-85.98;41.68;North America;3
-85.96;11.93;South America;4
-85.95;39.94;North America;2
-85.95;42.97;North America;3
-85.92;39.2;North America;2
-85.91;11.29;South America;3
-85.91;12.79;South America;2
-85.86;11.26;South America;13
-85.84;10.3;South America;24
-85.83;10.19;NA;141
-85.83;43.04;North America;2
-85.81;30.18;NA;9
-85.81;38.29;North America;2
-85.76;38.25;North America;33
-85.73;38.26;North America;2
-85.72;37.99;North America;2
-85.71;32.43;North America;2
-85.71;38.23;North America;4
-85.7;38.25;North America;110
-85.68;10.57;South America;364
-85.68;42.97;North America;4
-85.67;42.96;North America;20
-85.66;9.93;NA;18
-85.66;30.16;NA;74
-85.64;9.91;NA;5
-85.64;35.81;North America;2
-85.64;42.67;North America;19
-85.63;38.29;North America;4
-85.62;44.76;North America;2
-85.6;12.77;South America;8
-85.6;44.31;North America;797
-85.59;42.29;North America;12
-85.59;42.92;North America;3
-85.58;42.2;North America;2
-85.56;42.3;North America;2
-85.54;41.79;North America;2
-85.48;32.61;North America;2
-85.45;42.38;North America;3
-85.44;10.63;South America;26
-85.39;31.22;North America;3
-85.39;40.19;North America;3
-85.38;38.74;North America;2
-85.35;34.97;North America;4
-85.32;51.25;North America;143
-85.31;35.05;North America;36
-85.21;12.87;South America;140
-85.21;41.06;North America;9
-85.17;9.65;South America;10
-85.17;41.16;North America;2
-85.14;41.08;North America;9
-85.13;9.61;South America;2
-85.07;42.99;North America;9
-85.03;35.95;North America;2
-85.02;45.21;North America;2
-84.99;32.46;North America;2
-84.98;33.74;North America;2
-84.96;45.37;North America;3
-84.88;41.79;North America;2
-84.86;33.57;North America;5
-84.83;9.98;NA;16
-84.8;33.38;North America;24
-84.79;34.16;North America;3
-84.78;45.13;North America;2
-84.77;34.24;North America;2
-84.75;37.07;North America;2
-84.74;9.98;South America;3
-84.66;43.38;North America;5
-84.64;9.62;NA;14
-84.63;9.61;NA;19
-84.62;9.62;South America;3
-84.62;34.02;North America;8
-84.58;34.04;North America;2
-84.56;34.02;North America;2
-84.56;39.4;North America;3
-84.55;33.81;North America;2
-84.55;33.95;North America;2
-84.51;33.66;North America;2
-84.51;39.1;North America;115
-84.5;38.04;North America;17
-84.49;33.7;North America;2
-84.49;33.9;North America;4
-84.48;42.74;North America;5
-84.46;38.05;North America;2
-84.45;33.76;North America;2
-84.44;10.33;South America;2
-84.43;33.64;North America;11
-84.43;39.15;North America;3
-84.41;33.79;North America;7
-84.39;33.75;North America;164
-84.39;33.76;North America;9
-84.39;39.37;North America;5
-84.38;39.2;North America;2
-84.36;33.76;North America;1504
-84.36;34.02;North America;3
-84.36;39.19;North America;3
-84.36;41.28;North America;2
-84.35;10.66;South America;2
-84.34;34.85;North America;34
-84.3;30.44;North America;3
-84.3;33.77;North America;93
-84.29;34.08;North America;2
-84.28;30.44;North America;7
-84.27;33.88;North America;6
-84.27;33.91;North America;2
-84.27;37.84;North America;34
-84.26;30.45;North America;2
-84.25;43.61;North America;2
-84.23;30.44;North America;7
-84.21;10.02;South America;15
-84.19;39.76;North America;5
-84.18;9.93;South America;4
-84.15;31.13;North America;2
-84.15;33.45;North America;2
-84.14;9.39;NA;2
-84.14;9.91;South America;29
-84.12;10;South America;11
-84.12;34.88;North America;3
-84.11;40.74;North America;2
-84.09;9.93;South America;101
-84.08;34.01;North America;2
-84.07;33.82;North America;2
-84.07;34.01;North America;2
-84.06;9.93;South America;2
-84.06;40.73;North America;2
-84.05;9.93;South America;2
-84.03;39.73;North America;2
-84.02;9.91;South America;2
-84.02;33.86;North America;3
-83.99;9.99;South America;18
-83.99;33.95;North America;6
-83.98;34.11;North America;3073
-83.98;42.43;North America;23
-83.94;42;North America;2
-83.93;34.19;North America;7
-83.93;35.95;North America;11
-83.93;42.61;North America;2
-83.92;9.86;South America;7
-83.92;35.96;North America;34
-83.89;33.62;North America;4
-83.86;9.25;South America;9
-83.83;42.96;North America;7
-83.75;9.75;South America;985
-83.74;9.16;South America;27
-83.74;9.17;South America;10
-83.74;42.28;North America;14
-83.68;42.09;North America;6
-83.67;34.3;North America;2
-83.65;41.04;North America;3
-83.56;41.66;North America;4
-83.49;41.64;North America;4
-83.45;45.07;North America;2
-83.36;33.95;North America;3
-83.35;42.37;North America;37
-83.34;37.31;North America;3
-83.28;30.83;North America;11
-83.28;37.9;North America;5
-83.26;42.7;North America;2
-83.22;42.47;North America;2
-83.18;35.31;North America;2
-83.16;40.03;North America;4
-83.15;42.42;North America;2
-83.15;42.61;North America;2
-83.14;8.39;NA;2
-83.14;40.11;North America;2
-83.14;42.15;North America;3
-83.14;42.49;North America;2
-83.13;8.35;NA;2
-83.07;42.59;North America;2
-83.05;42.33;North America;141
-83.04;9.99;South America;7
-83.04;42.31;North America;5
-83.04;42.32;North America;2
-83.03;40.01;North America;4
-83.01;42.46;North America;4
-83.01;42.8;North America;2
-83;39.96;North America;135
-83;39.97;North America;3
-83;39.98;North America;4
-82.99;40.01;North America;2
-82.97;42.14;North America;2
-82.96;42.47;North America;2
-82.91;40.42;North America;72
-82.9;32.17;North America;93
-82.88;40.02;North America;2
-82.88;42.6;North America;3
-82.87;40;North America;2
-82.85;27.9;NA;4
-82.83;42.58;North America;4
-82.8;27.97;North America;12
-82.77;27.77;North America;2
-82.77;28.02;North America;5
-82.76;27.81;North America;16
-82.76;28.08;North America;8
-82.74;28.11;North America;8
-82.74;28.21;North America;2
-82.71;9.64;South America;2
-82.71;27.74;North America;28
-82.71;41.45;North America;2
-82.7;27.89;North America;9
-82.69;27.91;North America;4
-82.68;28.18;North America;2
-82.65;28.04;North America;6
-82.65;28.42;North America;6
-82.65;34.5;North America;2
-82.63;27.75;North America;38
-82.63;36.93;North America;17
-82.61;39.72;North America;3
-82.57;28.52;North America;2
-82.55;27.27;North America;2
-82.55;27.39;North America;7
-82.55;35.6;North America;29
-82.54;27.34;North America;5
-82.54;27.76;NA;300
-82.54;28.48;North America;11
-82.53;27.34;North America;23
-82.53;28.09;North America;6
-82.52;9.42;South America;4
-82.52;40.07;North America;8
-82.47;28.04;North America;6
-82.46;27.95;North America;94
-82.46;28.15;North America;2
-82.46;28.22;North America;2
-82.45;8.78;South America;2
-82.45;27.1;North America;3
-82.45;38.42;North America;2
-82.44;29.8;North America;2
-82.41;27.96;North America;2
-82.39;34.85;North America;15
-82.37;23.11;South America;4
-82.37;27.99;North America;2
-82.37;28.03;North America;4
-82.35;26.96;North America;14
-82.34;28.24;North America;2
-82.33;27.87;North America;2
-82.32;29.65;North America;7
-82.32;37.61;North America;2
-82.32;39.85;North America;2
-82.32;40.87;North America;2
-82.29;33.91;North America;2
-82.25;27.88;North America;7
-82.19;36.6;North America;4
-82.15;28;North America;9
-82.14;29.19;North America;17
-82.13;33.53;North America;14
-82.02;26.45;NA;2
-82.01;33.47;North America;5
-81.99;29.59;North America;10
-81.98;30.3;North America;11
-81.96;28.89;North America;3
-81.95;26.73;North America;2
-81.95;28.04;North America;11
-81.93;34.95;North America;3
-81.92;41.46;North America;2
-81.88;36.18;North America;7
-81.87;26.62;North America;3
-81.87;26.64;NA;5
-81.87;28.06;North America;4
-81.87;28.74;North America;5
-81.85;41.41;North America;62
-81.84;41.31;North America;10
-81.81;26.44;North America;2
-81.8;26.17;North America;8
-81.8;41.48;North America;4
-81.79;26.14;North America;27
-81.79;26.49;North America;4
-81.79;41.45;North America;18
-81.78;24.56;North America;5
-81.76;38.95;North America;2
-81.76;43.31;North America;3
-81.74;30.27;North America;2
-81.72;41.4;North America;2
-81.71;30.17;North America;10
-81.71;41.24;North America;2
-81.7;30.44;North America;3
-81.69;41.5;North America;55
-81.68;41.5;North America;2
-81.66;28.85;North America;2
-81.66;30.33;North America;70
-81.64;30.27;North America;4
-81.63;35.6;North America;2
-81.63;38.35;North America;5
-81.62;26.63;North America;2
-81.59;27.9;North America;13
-81.59;28.36;North America;2
-81.59;28.41;North America;3
-81.59;40.03;North America;2
-81.59;41.03;North America;18
-81.56;28.39;North America;2
-81.56;44.28;North America;3
-81.55;41.4;North America;2
-81.54;35.91;North America;2
-81.54;41.39;North America;2
-81.53;28.33;North America;8
-81.53;28.5;North America;3
-81.52;27.66;North America;3661
-81.52;28.37;North America;3
-81.52;41.08;North America;4
-81.52;41.52;North America;2
-81.51;30.27;North America;2
-81.47;28.32;North America;2
-81.47;28.47;North America;23
-81.46;28.52;North America;124
-81.46;30.63;North America;8
-81.45;34.24;North America;4
-81.45;37.22;North America;4
-81.44;30.62;NA;25
-81.43;28.58;North America;2
-81.43;29.97;North America;10
-81.43;31.83;North America;3
-81.41;28.29;North America;6
-81.4;30.28;North America;49
-81.4;30.31;North America;37
-81.4;30.33;North America;4
-81.39;30.24;North America;47
-81.39;31.16;NA;13
-81.38;28.54;North America;184
-81.38;40.8;North America;2
-81.37;38.78;North America;6
-81.36;28.63;North America;4
-81.36;41.15;North America;23
-81.35;28.6;North America;5
-81.35;28.76;North America;5
-81.35;31.18;NA;4
-81.35;41.47;North America;2
-81.34;28.6;North America;9
-81.34;35.73;North America;2
-81.33;28.6;North America;5
-81.33;28.87;North America;2
-81.32;28.62;North America;2
-81.32;29.9;North America;2
-81.31;29.9;North America;117
-81.3;28.95;North America;2
-81.3;29.03;North America;10
-81.28;29.84;North America;45
-81.27;29.84;North America;3
-81.27;29.86;North America;96
-81.25;19.31;South America;10
-81.25;42.98;North America;118
-81.24;19.32;South America;3
-81.24;34.99;North America;2
-81.22;42.99;North America;2
-81.22;43.03;North America;2
-81.21;28.67;North America;3
-81.21;29.58;North America;13
-81.21;34.18;North America;2
-81.2;28.6;North America;11
-81.19;37.78;North America;20
-81.16;33.84;North America;288
-81.13;29.47;North America;14
-81.1;32.08;North America;10
-81.08;36.91;North America;3
-81.07;29.35;North America;2
-81.06;29.29;North America;3
-81.05;-4.1;South America;2
-81.03;29.03;North America;9
-81.03;34;North America;5
-81.03;34.74;North America;2
-81.03;34.95;North America;4
-81.02;29.21;North America;196
-81.01;29.22;North America;19
-81.01;32.43;North America;48
-81;29.14;North America;3
-80.98;43.37;North America;14
-80.95;35.01;North America;5
-80.94;44.57;North America;2
-80.94;46.49;North America;8
-80.94;46.51;North America;2
-80.93;29.03;North America;11
-80.9;35.6;North America;2
-80.89;29;North America;4
-80.89;35.22;North America;4
-80.86;-2.23;South America;11
-80.85;32;NA;12
-80.85;35.35;North America;2
-80.84;35.23;North America;50
-80.83;35.22;North America;5
-80.81;28.61;NA;7
-80.81;35.58;North America;3
-80.79;28.2;North America;2
-80.78;-1.73;South America;2
-80.78;8.54;South America;512
-80.76;-1.8;South America;2
-80.75;-1.83;South America;37
-80.75;32.22;North America;6
-80.74;28.39;NA;2
-80.74;41.28;North America;2
-80.73;28.32;North America;3
-80.73;41.02;North America;39
-80.72;40.06;North America;4
-80.71;-0.97;South America;21
-80.7;28.08;North America;2
-80.68;28.52;North America;6
-80.68;32.43;North America;16
-80.67;32.35;NA;2
-80.61;28.08;North America;7
-80.61;28.2;North America;2
-80.61;28.32;North America;21
-80.61;28.35;North America;8
-80.61;28.39;North America;5
-80.6;27.05;North America;2
-80.6;28.04;North America;5
-80.59;28.18;North America;24
-80.58;35.41;North America;3
-80.58;37.13;North America;5
-80.58;40.62;North America;2
-80.57;28.09;North America;128
-80.56;28.07;North America;20
-80.52;25.01;NA;5
-80.52;43.46;North America;3
-80.51;27.97;North America;2
-80.5;25.44;North America;8
-80.49;35.68;North America;2
-80.48;7.27;South America;14
-80.48;25.47;North America;6
-80.48;43.45;North America;24
-80.47;35.67;North America;3
-80.46;38.82;North America;7
-80.45;-1.05;South America;72
-80.45;-0.46;NA;2
-80.45;25.09;North America;3
-80.45;38.6;North America;10
-80.41;37.23;North America;2
-80.4;25.66;North America;5
-80.4;27.32;North America;2
-80.4;27.64;NA;140
-80.38;26.1;North America;2
-80.37;8.63;South America;6
-80.37;25.76;North America;2
-80.37;25.8;North America;9
-80.37;26.19;North America;13
-80.37;40.64;North America;3
-80.36;25.8;North America;10
-80.36;26.03;North America;2
-80.36;27.27;North America;4
-80.35;25.77;North America;2
-80.35;27.63;North America;82
-80.34;40.76;North America;2
-80.33;25.79;North America;240
-80.33;25.8;North America;2
-80.33;27.45;NA;8
-80.31;25.66;North America;2
-80.31;25.79;North America;2
-80.31;43.36;North America;3
-80.3;26.01;North America;11
-80.29;25.8;North America;2
-80.29;26.06;North America;2
-80.28;25.86;North America;4
-80.28;26.65;North America;4
-80.27;7.77;South America;2
-80.27;25.72;North America;10
-80.27;26.27;North America;3
-80.27;26.66;North America;2
-80.27;27.17;North America;8
-80.26;26.17;North America;2
-80.25;25.73;North America;2
-80.25;26.08;North America;3
-80.25;27.2;North America;16
-80.25;43.54;North America;5
-80.24;25.73;North America;4
-80.24;25.74;North America;3
-80.23;26.71;North America;23
-80.23;27.25;NA;2
-80.22;25.75;North America;2
-80.22;40.52;North America;9
-80.21;25.77;North America;3
-80.2;7.43;South America;4
-80.2;26.33;North America;4
-80.2;35.35;North America;2
-80.19;25.76;NA;405
-80.19;25.77;NA;2
-80.19;40.26;North America;4
-80.18;25.75;NA;2
-80.18;26.09;North America;12
-80.18;26.25;North America;2
-80.18;33.02;North America;6
-80.17;25.79;NA;4
-80.17;32.58;NA;2
-80.16;25.99;North America;2
-80.16;26.94;North America;2
-80.15;26.01;North America;13
-80.14;25.79;NA;4
-80.14;25.96;North America;4
-80.14;26.01;North America;6
-80.14;26.05;North America;2
-80.14;26.12;North America;111
-80.14;26.82;North America;6
-80.14;40.79;North America;12
-80.13;25.78;NA;18
-80.13;25.79;NA;100
-80.13;25.8;NA;2
-80.13;26.1;North America;10
-80.13;26.37;North America;33
-80.12;25.94;North America;2
-80.12;25.98;North America;21
-80.12;26.01;NA;9
-80.11;26.17;North America;4
-80.11;26.78;North America;2
-80.11;26.96;North America;7
-80.11;32.74;North America;10
-80.1;26.19;NA;13
-80.1;26.32;North America;15
-80.1;26.55;North America;2
-80.1;26.59;North America;12
-80.09;26.2;NA;2
-80.09;26.53;North America;12
-80.09;26.93;North America;20
-80.09;41.16;North America;2
-80.09;42.13;North America;11
-80.08;7.52;South America;6
-80.08;26.37;North America;3
-80.08;35.88;North America;2
-80.07;26.46;North America;27
-80.07;26.62;North America;5
-80.06;40.58;North America;8
-80.05;0.07;South America;3
-80.05;26.72;North America;2208
-80.05;26.88;NA;3
-80.05;40.63;North America;19
-80.04;26.71;NA;11
-80.04;26.79;NA;5
-80.03;32.98;North America;25
-80.02;0.51;South America;2
-80.01;32.79;North America;3
-80;37.29;North America;2
-80;40.44;North America;65
-80;44.69;North America;2
-79.96;39.63;North America;2
-79.95;43.27;North America;3
-79.94;8.86;South America;3
-79.94;32.66;NA;120
-79.94;37.27;North America;22
-79.93;32.78;North America;108
-79.93;40.46;North America;2
-79.92;-2.17;South America;160
-79.92;-1.96;South America;19
-79.92;36.72;North America;4
-79.9;-2.17;South America;3
-79.9;43.53;North America;21
-79.88;8.53;South America;4
-79.87;8.56;South America;14
-79.87;43.26;North America;16
-79.85;0.87;South America;2
-79.84;-6.78;South America;7
-79.83;42.22;North America;3
-79.8;43.33;North America;30
-79.79;36.07;North America;32
-79.79;43.34;North America;2
-79.76;36.5;North America;2
-79.76;43.73;North America;2
-79.73;-1.96;South America;13
-79.73;43.71;North America;68
-79.73;43.87;North America;2
-79.72;43.23;North America;2
-79.69;43.47;North America;3
-79.69;44.39;North America;9
-79.67;41.63;North America;6
-79.65;0.97;South America;4
-79.65;43.61;North America;32
-79.65;43.66;North America;2
-79.64;43.59;North America;4
-79.62;43.68;North America;10
-79.61;37.31;North America;158
-79.59;37.91;North America;3
-79.58;45.12;North America;2
-79.54;43.6;North America;2
-79.54;43.63;North America;3
-79.54;43.69;North America;2
-79.54;43.84;North America;10
-79.53;-1.8;South America;2
-79.53;8.99;South America;6
-79.53;43.81;North America;2
-79.53;43.82;North America;560
-79.52;8.98;South America;82
-79.51;39.86;North America;2
-79.51;43.84;North America;6
-79.5;36.1;North America;8
-79.5;43.61;North America;3
-79.5;43.8;North America;3
-79.48;43.64;North America;2
-79.47;35.73;North America;3
-79.47;43.69;North America;2
-79.47;43.99;North America;193
-79.46;43.81;North America;272
-79.46;43.85;North America;2
-79.46;44.06;North America;6
-79.46;46.31;North America;2
-79.45;44.01;North America;6
-79.44;43.65;North America;8
-79.44;43.88;North America;2
-79.44;44.3;North America;3
-79.43;43.66;North America;2
-79.42;44.61;North America;5
-79.41;45.18;North America;2
-79.4;43.65;North America;38
-79.39;9.07;South America;3
-79.39;43.65;North America;23
-79.38;43.64;North America;5
-79.38;43.65;North America;807
-79.38;43.66;North America;2
-79.37;46.08;North America;2
-79.36;43.71;North America;6
-79.36;43.76;North America;2
-79.35;43.68;North America;2
-79.34;43.66;North America;2
-79.34;43.86;North America;2
-79.29;43.06;North America;21
-79.25;43.16;North America;4
-79.2;43.75;North America;2
-79.2;44.04;North America;6
-79.14;43.09;North America;2
-79.12;33.43;North America;2
-79.1;33.47;North America;3
-79.1;36.08;North America;2
-79.09;-8.09;South America;3
-79.08;35.91;North America;23
-79.08;43.09;North America;4
-79.08;43.25;North America;2
-79.07;38.15;North America;25
-79.06;35.91;North America;6
-79.05;33.84;North America;9
-79.04;33.55;North America;7
-79.02;-8.11;South America;29
-79.02;35.76;North America;291
-79.02;43.85;North America;2
-79.01;-2.9;South America;16
-78.98;-8.21;South America;4
-78.97;33.61;North America;12
-78.94;43.9;North America;5
-78.91;33.74;North America;7
-78.9;35.99;North America;24
-78.9;36;North America;2
-78.9;44.53;North America;2
-78.89;33.69;North America;10
-78.89;36;North America;2
-78.88;33.72;North America;617
-78.88;35.05;North America;10
-78.88;42.89;North America;27
-78.87;35.14;North America;4
-78.87;37.39;North America;3
-78.87;42.89;North America;2
-78.85;35.73;North America;9
-78.85;35.92;North America;2
-78.82;42.93;North America;2
-78.79;35.88;North America;2
-78.79;42.98;North America;3
-78.78;33.77;North America;3
-78.78;35.79;North America;3
-78.76;42.92;North America;2
-78.75;42.84;North America;2
-78.75;43.31;North America;4
-78.71;33.8;North America;2
-78.7;35.85;North America;52
-78.67;42.26;North America;2
-78.66;21.47;NA;46
-78.66;37.43;North America;397
-78.65;-1.66;South America;6
-78.64;35.78;North America;47
-78.58;35.84;North America;2
-78.54;-0.31;South America;2
-78.54;42.64;North America;2
-78.51;38.03;North America;2
-78.48;-8.14;South America;7
-78.48;-0.19;South America;4
-78.48;38.03;North America;2
-78.47;-0.18;South America;46
-78.47;42.53;North America;16
-78.43;33.89;NA;3
-78.36;38.01;North America;2
-78.35;37.84;North America;3
-78.32;44.31;North America;3
-78.3;33.91;NA;2
-78.18;-1.83;South America;196
-78.16;33.92;North America;2
-78.16;39.19;North America;5
-78.12;0.34;South America;2
-78.11;43.93;North America;2
-78.06;35.33;North America;7
-78.04;38.98;North America;2
-77.96;33.84;NA;6
-77.95;39.16;North America;2
-77.94;34.23;North America;62
-77.94;43.22;North America;4
-77.92;34.2;North America;8
-77.92;35.72;North America;2
-77.91;34;NA;2
-77.89;18.48;South America;4
-77.89;34.04;North America;5
-77.86;35.89;North America;2
-77.86;40.79;North America;6
-77.83;43.63;North America;2
-77.8;34.21;NA;8
-77.78;21.52;South America;6
-77.74;17.86;NA;4
-77.72;39.64;North America;2
-77.65;37.51;North America;4
-77.63;34.37;NA;5
-77.63;39.31;North America;2
-77.62;37.65;North America;2
-77.61;43.16;North America;12
-77.58;43.16;North America;8
-77.56;35.28;North America;12
-77.56;39.12;North America;2
-77.55;34.43;NA;6
-77.54;38.37;North America;3
-77.54;43.1;North America;2
-77.53;38.29;North America;4
-77.52;37.54;North America;2
-77.52;40.05;North America;2
-77.51;37.67;North America;2
-77.51;39.04;North America;2
-77.49;37.58;North America;18
-77.48;38.75;North America;2
-77.48;39.08;North America;2
-77.46;40.41;North America;2
-77.44;37.54;North America;24
-77.44;43.21;North America;2
-77.43;39.01;North America;3
-77.42;38.99;North America;2
-77.41;39.41;North America;30
-77.41;42.75;North America;12
-77.4;25.03;South America;3
-77.4;38.33;North America;2
-77.37;35.61;North America;16
-77.37;37.61;North America;2
-77.36;25.05;South America;2
-77.36;35.61;North America;2
-77.36;38.96;North America;2
-77.35;37.94;North America;2
-77.33;37.51;North America;3
-77.32;18.31;South America;2
-77.31;38.85;North America;7
-77.3;18.11;South America;16
-77.27;5.71;South America;2
-77.26;41.2;North America;24
-77.22;38.92;North America;3
-77.22;38.93;North America;2
-77.2;39.11;North America;2
-77.2;39.14;North America;5
-77.2;40.2;North America;2
-77.19;38.79;North America;2
-77.19;40.21;North America;4
-77.19;41.2;North America;132
-77.17;39.05;North America;4
-77.17;39.37;North America;2
-77.15;39.08;North America;2
-77.13;-12.05;South America;4
-77.11;-12.02;South America;2
-77.11;38.88;North America;10
-77.1;-6.14;South America;4
-77.09;38.89;North America;2
-77.09;38.98;North America;2
-77.08;-11.96;South America;3
-77.07;-12.09;South America;2
-77.07;-12.08;South America;2
-77.07;38.93;North America;7
-77.07;39.15;North America;2
-77.06;38.9;North America;3
-77.06;38.93;North America;2
-77.05;-12.06;South America;2
-77.05;38.8;North America;29
-77.05;38.9;North America;2
-77.05;38.91;North America;4
-77.05;40.82;North America;3
-77.04;-12.05;South America;117
-77.04;35.11;North America;5
-77.04;38.9;North America;25
-77.04;38.91;North America;167
-77.04;38.92;North America;83
-77.03;-12.12;South America;4
-77.03;-12.11;South America;26
-77.03;-12.1;South America;2
-77.03;-12.07;South America;3
-77.03;38.88;North America;2
-77.03;38.9;North America;16
-77.03;38.95;North America;2
-77.03;38.99;North America;5
-77.03;39;North America;2
-77.02;-12.14;South America;230
-77.02;-12.13;South America;2
-77.02;-12.07;South America;5
-77.02;38.92;North America;2
-77.02;38.93;North America;2
-77.01;-12.09;South America;2
-77.01;-12.07;South America;20
-77.01;38.9;North America;3
-77;-12.1;South America;4
-77;-12.08;South America;2
-76.99;-12.14;South America;8
-76.99;-12.12;South America;10
-76.96;39.06;North America;2
-76.95;34.68;NA;17
-76.93;-12.04;South America;4
-76.89;17.96;South America;2
-76.89;40.27;North America;10
-76.87;40.33;North America;7
-76.86;34.79;North America;22
-76.86;39.2;North America;6
-76.83;39.46;North America;4
-76.82;42.1;North America;2
-76.81;-12.31;South America;3
-76.81;18.02;South America;26
-76.79;17.99;South America;2
-76.79;40.32;North America;3
-76.77;-12.38;South America;2
-76.74;34.7;NA;5
-76.73;34.72;North America;9
-76.73;39.27;North America;6
-76.73;39.96;North America;244
-76.72;36.92;North America;4
-76.72;40.06;North America;2
-76.71;37.27;North America;21
-76.71;39.26;North America;4
-76.7;42.35;North America;2
-76.67;39.18;North America;2
-76.66;39.26;North America;4
-76.66;44.3;North America;9
-76.65;39.53;North America;5
-76.65;40.29;North America;5
-76.64;39.05;North America;288
-76.62;36.78;North America;3
-76.62;39.23;North America;4
-76.61;39.29;North America;94
-76.59;40.15;North America;2
-76.58;36.73;North America;22
-76.58;38.54;North America;4
-76.58;40.17;North America;2
-76.56;38.31;North America;2
-76.54;34.69;NA;4
-76.54;38.94;North America;2
-76.53;3.43;South America;2
-76.53;3.45;South America;45
-76.53;3.46;South America;2
-76.52;39.25;NA;2
-76.5;42.44;North America;2
-76.49;44.23;North America;10
-76.48;-13.02;NA;2
-76.47;37.09;North America;57
-76.44;40.31;North America;29
-76.35;37.03;North America;2
-76.34;38.06;NA;2
-76.31;40.02;North America;2
-76.31;40.04;North America;7
-76.29;36.77;North America;14
-76.29;36.85;North America;65
-76.27;-12.27;South America;232
-76.25;44.9;North America;2
-76.24;36.88;North America;2
-76.23;43.46;North America;2
-76.19;42.3;North America;4
-76.16;44.33;North America;3
-76.15;43.05;North America;22
-76.05;40.23;North America;4
-75.98;36.85;North America;103
-75.96;37.14;NA;4
-75.95;9.35;South America;17
-75.93;37.36;North America;2
-75.93;40.34;North America;8
-75.93;42.1;North America;2
-75.91;43.97;North America;2
-75.88;8.75;South America;14
-75.87;40.31;North America;7
-75.84;36.44;North America;4
-75.81;9.24;South America;4
-75.75;40.08;North America;2
-75.75;40.45;North America;2
-75.74;36.09;NA;7
-75.73;45.39;North America;4
-75.71;36.06;NA;5
-75.7;45.42;North America;70
-75.7;45.48;North America;3
-75.69;4.81;South America;2
-75.69;45.43;North America;2
-75.68;35.91;North America;2
-75.68;36.03;North America;7
-75.68;41.39;North America;7
-75.67;45.43;North America;6
-75.65;40.25;North America;8
-75.64;45.46;North America;2
-75.62;35.96;North America;23
-75.61;39.96;North America;12
-75.6;38.36;North America;3
-75.59;6.17;South America;2
-75.58;6.24;South America;41
-75.57;8.05;South America;2
-75.56;40.25;North America;2
-75.55;39.74;North America;3
-75.54;35.25;North America;14
-75.54;40.18;North America;4
-75.53;38.58;North America;6
-75.53;38.91;North America;19
-75.53;40.68;North America;3
-75.52;39.16;North America;2
-75.52;40.23;North America;2
-75.49;40.61;North America;16
-75.48;10.39;South America;10
-75.47;3.86;South America;6
-75.47;35.56;North America;24
-75.47;35.58;North America;75
-75.43;40.05;North America;5
-75.39;39.92;North America;2
-75.39;43.34;North America;8
-75.38;40.04;North America;73
-75.37;40.63;North America;2
-75.35;39.9;North America;2
-75.31;43;North America;2
-75.28;39.96;North America;2
-75.24;4.44;South America;5
-75.24;39.87;NA;3
-75.23;43.1;North America;6
-75.22;38.33;North America;8
-75.21;40.38;North America;2
-75.17;39.95;North America;117
-75.17;39.97;North America;4
-75.17;40.25;North America;2
-75.16;38.73;North America;3
-75.16;39.63;North America;2
-75.16;39.99;North America;2
-75.16;40.47;North America;2
-75.15;39.94;North America;5
-75.15;40.33;North America;2
-75.14;38.77;North America;37
-75.14;39.94;North America;3
-75.14;40.08;North America;4
-75.13;39.97;North America;5
-75.13;40.31;North America;2
-75.11;38.33;NA;3
-75.11;39.7;North America;3
-75.08;38.34;NA;9
-75.08;38.72;NA;3
-75.07;39.93;North America;5
-75.06;39.92;North America;2
-75.02;-9.19;South America;252
-75;39.92;North America;4
-74.96;39.84;North America;4
-74.95;11;South America;11
-74.95;40.08;North America;2
-74.93;40.1;North America;3
-74.92;39.89;North America;3
-74.91;38.94;NA;9
-74.89;39.77;North America;10
-74.89;39.93;North America;4
